Competency Area,Topics,Must Have,Desirable,Advanced/ Best
Python,Python for Data Engineering,,,
,A. Python Core Competence,,,
,"Core syntax & data types (numbers, strings, lists, dicts, sets, tuples)","Writes clean, readable Python code using core data structures effectively.",Knows when to use each data type for performance and memory efficiency.,Uses advanced Pythonic constructs and optimizes data structures for scalability.
,"Control flow (loops, conditionals, comprehensions)","Uses loops, if-statements, and comprehensions to process data efficiently.",Applies list/dict comprehensions for concise and readable data transformations.,Writes generator expressions and leverages iterators for memory-efficient workflows.
,"Functions, classes, and methods",Defines reusable functions and simple classes for modular code.,Understands object-oriented design and applies encapsulation and inheritance appropriately.,Implements advanced OOP and functional hybrid patterns for reusable data pipelines.
,Modules & modular code patterns,Organizes code into modules and uses imports correctly.,Structures projects with clear separation of concerns using packages.,"Designs large, maintainable codebases using namespaces and dependency management."
,Error handling & logging best practices,Uses try/except blocks to handle common runtime errors.,Implements structured logging and error propagation for visibility in data jobs.,Designs robust error-handling frameworks with custom exceptions and centralized logging.
,"Functional programming (map, filter, reduce, lambdas, decorators)",Uses lambda functions and basic functional tools for transformations.,Combines functional constructs for concise ETL logic and clean transformations.,Creates decorators and higher-order functions to automate and optimize data workflows.
,"Type hints & static analysis (mypy, Pyright)",Writes functions with type hints to improve readability and debugging.,Uses static analysis tools to catch type errors before runtime.,Enforces type safety across pipelines and integrates type checking into CI/CD.
,Data validation (Pydantic),Uses Pydantic or similar libraries to validate structured data.,Designs schemas for complex nested data inputs and transformations.,Builds reusable validation layers for production data pipelines and APIs.
,B. Data Engineering Essentials,,,
,"File handling & data formats: CSV, JSON, Parquet",Reads and writes common file formats using built-in and standard libraries.,"Understands file compression, encoding, and schema inference.",Optimizes I/O for large-scale data handling using chunked reads/writes and async I/O.
,"Data wrangling with pandas, NumPy, polars, pyarrow",Performs data cleaning and transformation with pandas or NumPy.,Uses vectorized operations and joins/merges efficiently.,"Chooses optimal libraries (e.g., Polars, PyArrow) for distributed and large-memory processing."
