Competency Area,Topics,Must Have,Desirable,Advanced/ Best
Database,RDMBS & OLTP Design,,,
,Schema Design,"Understands how to define database tables, columns, and relationships.",Designs normalized schemas that ensure data integrity and efficiency.,"Creates scalable, flexible schemas that support evolving business requirements and high throughput."
,Entity Relationship Modeling,Can create simple ER diagrams showing relationships between entities.,Designs complex ER models with one-to-many and many-to-many relationships.,"Optimizes ER models for large-scale systems, applying abstraction and inheritance patterns effectively."
,Different types of Keys and Constraints,"Understands primary, foreign, and unique keys and basic constraints.","Applies composite keys, check constraints, and cascading rules properly.",Designs constraint strategies to enforce data quality and optimize referential integrity at scale.
,Normalization (1NF–3NF) and controlled denormalization,Understands normalization forms and applies them to remove redundancy.,Balances normalization and denormalization for performance and reporting.,Designs hybrid models using controlled denormalization to optimize read/write trade-offs.
,Transactional Processing,Understands what a transaction is and its importance for data consistency.,Implements multi-step transactional operations with rollback capabilities.,Designs high-throughput transactional systems with reliable transaction isolation and recovery mechanisms.
,ACID principles,"Knows and explains Atomicity, Consistency, Isolation, and Durability concepts.",Designs operations ensuring ACID compliance for complex transactions.,"Tunes ACID properties for scalability, implementing distributed or eventual consistency where appropriate."
,Locking & Concurrency,Understands how database locks prevent conflicting operations.,Manages isolation levels to balance consistency and concurrency.,Optimizes concurrency control strategies for high-load OLTP systems using row-level and optimistic locking.
,Optimization," Proficient in SELECT, JOIN, GROUP BY, subqueries, basic window functions",,
,Indexing strategies,Creates simple indexes to speed up lookups and joins.,Designs compound and covering indexes for query optimization.,Implements adaptive and partial indexing strategies tuned to query workload patterns.
,Query execution plan interpretation,Reads basic execution plans to identify full scans and join types.,Interprets plans to pinpoint performance bottlenecks and inefficiencies.,Optimizes complex queries using advanced plan tuning and cost-based optimization techniques.
,Partitioning/sharding basics,Understands what partitioning and sharding are conceptually.,Applies partitioning to improve performance and manage large tables.,Designs scalable sharding and distributed partitioning architectures for global OLTP systems.
,"Understands SQL, NoSQL and their use cases",Knows the differences between SQL and NoSQL systems.,Selects appropriate data storage systems based on workload and schema flexibility.,Designs polyglot persistence architectures combining SQL and NoSQL for optimal performance and scalability.
,"Release Management (migration scripts, rollbacks, versioning)",Applies schema changes using manual SQL scripts.,"Uses migration tools (e.g., Alembic, Flyway, Liquibase) for version control.",Designs automated migration workflows with rollback and CI/CD integration for zero-downtime releases.
,Data Migration (transferring data across environments and systems),Performs basic data exports and imports between environments.,Automates data migration with validation and transformation logic.,"Designs large-scale, reliable migration strategies supporting incremental loads and schema evolution."
