Competency Area,Topics,Must Have,Desirable,Advanced/ Best,Remarks
Database,RDMBS & OLTP Design,,,,
,Schema Design,"Understands how to define database tables, columns, and relationships.",Designs normalized schemas that ensure data integrity and efficiency.,"Creates scalable, flexible schemas that support evolving business requirements and high throughput.",
,Entity Relationship Modeling,Can create simple ER diagrams showing relationships between entities.,Designs complex ER models with one-to-many and many-to-many relationships.,"Optimizes ER models for large-scale systems, applying abstraction and inheritance patterns effectively.",
,Different types of Keys and Constraints,"Understands primary, foreign, and unique keys and basic constraints.","Applies composite keys, check constraints, and cascading rules properly.",Designs constraint strategies to enforce data quality and optimize referential integrity at scale.,
,Normalization (1NF–3NF) and controlled denormalization,Understands normalization forms and applies them to remove redundancy.,Balances normalization and denormalization for performance and reporting.,Designs hybrid models using controlled denormalization to optimize read/write trade-offs.,
,Transactional Processing,Understands what a transaction is and its importance for data consistency.,Implements multi-step transactional operations with rollback capabilities.,Designs high-throughput transactional systems with reliable transaction isolation and recovery mechanisms.,
,ACID principles,"Knows and explains Atomicity, Consistency, Isolation, and Durability concepts.",Designs operations ensuring ACID compliance for complex transactions.,"Tunes ACID properties for scalability, implementing distributed or eventual consistency where appropriate.",
,Locking & Concurrency,Understands how database locks prevent conflicting operations.,Manages isolation levels to balance consistency and concurrency.,Optimizes concurrency control strategies for high-load OLTP systems using row-level and optimistic locking.,
,Optimization," Proficient in SELECT, JOIN, GROUP BY, subqueries, basic window functions",,,
,Indexing strategies,Creates simple indexes to speed up lookups and joins.,Designs compound and covering indexes for query optimization.,Implements adaptive and partial indexing strategies tuned to query workload patterns.,
,Query execution plan interpretation,Reads basic execution plans to identify full scans and join types.,Interprets plans to pinpoint performance bottlenecks and inefficiencies.,Optimizes complex queries using advanced plan tuning and cost-based optimization techniques.,
,Partitioning/sharding basics,Understands what partitioning and sharding are conceptually.,Applies partitioning to improve performance and manage large tables.,Designs scalable sharding and distributed partitioning architectures for global OLTP systems.,
,"Understands SQL, NoSQL and their use cases",Knows the differences between SQL and NoSQL systems.,Selects appropriate data storage systems based on workload and schema flexibility.,Designs polyglot persistence architectures combining SQL and NoSQL for optimal performance and scalability.,
,"Release Management (migration scripts, rollbacks, versioning)",Applies schema changes using manual SQL scripts.,"Uses migration tools (e.g., Alembic, Flyway, Liquibase) for version control.",Designs automated migration workflows with rollback and CI/CD integration for zero-downtime releases.,
,Data Migration (transferring data across environments and systems),Performs basic data exports and imports between environments.,Automates data migration with validation and transformation logic.,"Designs large-scale, reliable migration strategies supporting incremental loads and schema evolution.",
SQL,Core Analytical & Engineering Competency,,,,
,"A. Fundamentals (DDL, DML, DQL)",,,,
,"Filtering, Grouping, Aggregations","Comfortable with filtering rows (WHERE), grouping data (GROUP BY), and applying aggregate functions like SUM, AVG, COUNT.","Uses HAVING with grouping, writes nested aggregations.","Optimizes aggregations for large datasets with rollups, cubes, or materialized views.",
,"Joins (Inner, Outer, Self, Cross, Left, Right)","Uses INNER, LEFT, and RIGHT joins effectively to combine datasets.","Understands FULL OUTER, CROSS, and SELF joins; applies them in real use cases.",Optimizes multi-join queries across large relational schemas.,
,Null handling,"Understands NULLs, IS NULL, and default values in queries.","Uses COALESCE, NULLIF, and CASE for flexible null handling.",Designs robust queries and transformations that handle nulls in complex pipelines.,
,B. Intermediate SQL,,,,
,Subqueries (Correlated and Uncorrelated),Writes simple uncorrelated subqueries.,Uses correlated subqueries effectively in filtering or transformations.,Refactors subqueries into optimized CTEs or joins for performance.,
,CTEs,Uses simple WITH clauses for readability.,Writes layered or recursive CTEs for moderately complex queries.,Structures multi-step query logic with multiple CTEs for production workloads.,
,"Window Functions (ROW_NUMBER, RANK, LAG, LEAD, moving averages)","Applies ROW_NUMBER, RANK, and simple LAG/LEAD for ordering.","Uses advanced windowing like moving averages, partitions, or percentiles.",Tunes heavy window functions for big data performance in distributed systems.,
,"Set operations (UNION, EXCEPT, INTERSECT)",Applies UNION and UNION ALL correctly.,Uses INTERSECT and EXCEPT for deduplication and comparisons.,Combines multiple set operations with performance optimization techniques.,
,"Conditional logic (CASE, COALESCE)",Uses CASE statements for basic conditional output.,Applies COALESCE and nested CASE for data transformation logic.,Designs complex conditional transformations in ETL pipelines.,
,NoSQL Queries,"Has awareness of querying styles in document/column stores (e.g., MongoDB aggregate pipeline).",Combines SQL and NoSQL queries in hybrid or federated systems.,,
,C. Advanced SQL,,,,
,Data Validation and Testing,Compares query outputs against expected results.,Writes validation queries for ETL and QA workflows.,Implements automated data testing and quality checks.,
,Transactions and Error Handling,Executes BEGIN/COMMIT/ROLLBACK in scripts.,Implements error handling in stored procedures.,Designs complex transactional logic across multiple tables or systems.,
,Stored Procedures and User-defined functions,Reads and uses existing stored procedures.,Writes simple stored procedures and user-defined functions.,"Optimizes, modularizes, and manages stored procedure libraries.",
,Recursive Queries,,"Writes recursive CTEs for hierarchy queries (e.g., org charts).",Optimizes recursive queries for performance in large datasets.,
,"Temp tables, materialized views",Uses temp tables for ad hoc analysis.,Creates materialized views for performance and reuse.,Designs and manages refresh strategies for production-grade materialized views.,
,"Dynamic SQL, parameterized queries",,Writes parameterized queries to prevent SQL injection.,"Implements dynamic SQL for flexible, automated pipelines.",
,Familiarity with ORMs,,Familiar with ORMs,,
,D. Performance and Optimization,,,,
,"Query optimization (EXPLAIN, indexing, query hints)","Can run EXPLAIN (or equivalent) to understand query plans at a basic level (e.g., see if indexes are used, detect full table scans).",Interprets execution plans to spot performance bottlenecks; rewrites queries to improve efficiency.,Uses query hints and advanced tuning techniques; understands cost-based optimizers and can fine-tune queries at scale.,
,"Index usage (B-tree, bitmap, clustered, covering indexes)",Understands and applies single-column B-tree indexes for filtering and joins.,"Familiar with composite indexes, clustered indexes, and covering indexes for complex queries.","Designs and manages specialized indexes (bitmap, partial, functional) for high-performance workloads.",
,Partitioning for performance,"Aware of what partitioning is and when it might help (e.g., splitting large tables by date).",Applies table partitioning in practice for moderately large datasets; understands partition pruning.,"Designs partitioning strategies for enterprise-scale data (hash, list, range); balances query performance with storage and maintenance.",
,Best practices for large-scale queries,"Writes queries that avoid common anti-patterns (e.g., SELECT * in production, unnecessary DISTINCT).","Optimizes queries that run on millions of rows, uses CTEs/materialized views for efficiency.","Applies best practices for distributed SQL engines (e.g., SparkSQL, BigQuery, Presto); tunes queries for parallelism and scalability.",
Python,Python for Data Engineering,,,,
,A. Python Core Competence,,,,
,"Core syntax & data types (numbers, strings, lists, dicts, sets, tuples)","Writes clean, readable Python code using core data structures effectively.",Knows when to use each data type for performance and memory efficiency.,Uses advanced Pythonic constructs and optimizes data structures for scalability.,
,"Control flow (loops, conditionals, comprehensions)","Uses loops, if-statements, and comprehensions to process data efficiently.",Applies list/dict comprehensions for concise and readable data transformations.,Writes generator expressions and leverages iterators for memory-efficient workflows.,
,"Functions, classes, and methods",Defines reusable functions and simple classes for modular code.,Understands object-oriented design and applies encapsulation and inheritance appropriately.,Implements advanced OOP and functional hybrid patterns for reusable data pipelines.,
,Modules & modular code patterns,Organizes code into modules and uses imports correctly.,Structures projects with clear separation of concerns using packages.,"Designs large, maintainable codebases using namespaces and dependency management.",
