Competency Area,Topics,Must Have,Desirable,Advanced/ Best
ETL and Data Warehousing,ETL and Data Warehousing - OLAP Design,,,
,A. ETL Foundations,,,
,"ETL vs ELT: concepts, trade-offs, use cases",Understands the difference between ETL and ELT and when each is appropriate.,"Chooses the right pattern based on data volume, latency, and infrastructure.",Designs hybrid ETL/ELT architectures that leverage pushdown transformations efficiently.
,Batch vs streaming/incremental loads,Knows how batch jobs differ from streaming and incremental updates.,Implements incremental updates using timestamps or change flags.,Designs near real-time streaming pipelines integrated with batch layers for low latency.
,"Data ingestion: files (CSV, JSON, Parquet), APIs, S3 buckets, databases",Loads data from various file formats and APIs into a staging area.,Automates ingestion pipelines from multiple heterogeneous sources.,"Builds scalable, fault-tolerant ingestion systems with parallelism and schema inference."
,"ETL transformations: cleansing, validation, enrichment, deduplication",Cleans and validates data manually within ETL scripts.,Implements reusable transformation modules for consistency and automation.,Designs enterprise-grade transformation frameworks with metadata-driven validation.
,"Error handling, logging, and monitoring in pipelines",Handles and logs basic ETL job errors.,Adds structured logging and alerts for job failures.,Implements centralized monitoring with observability dashboards and automated recovery.
,Metadata management & data lineage tracking,Records metadata manually or via naming conventions.,Uses tools or frameworks to track lineage and metadata automatically.,Integrates metadata and lineage into orchestration and governance systems for full traceability.
,Scalability: processing small vs large datasets efficiently,Runs ETL jobs for small-to-medium datasets efficiently.,Tunes transformations and joins for performance on larger datasets.,Designs elastic ETL pipelines optimized for distributed and cloud-scale data processing.
,B. Data Modeling for Warehousing,,,
,OLTP vs OLAP: transactional vs analytical systems,Understands differences between OLTP and OLAP workloads.,Models data appropriately for analytical versus transactional use.,Designs hybrid architectures integrating OLTP and OLAP with minimal latency (HTAP).
,Dimensional modeling basics: Star schema,Knows what a star schema is and when to use it.,Designs star schemas with clear fact and dimension separation.,"Builds complex, optimized star schemas supporting high concurrency analytics."
,Dimensional modeling basics: Snowflake schema,Understands snowflake schema structure and normalization trade-offs.,Implements snowflake schemas for reusable dimension hierarchies.,Optimizes snowflake schemas for performance and query efficiency at scale.
,Dimensional modeling basics: Fact tables & dimension tables,Identifies and creates fact and dimension tables for analysis.,Defines appropriate keys and relationships for joins.,Designs multi-fact models with conformed dimensions and surrogate key strategies.
,Slowly Changing Dimensions (SCD Types 1–3),Understands the concept of SCDs and the difference between types.,Implements SCD Type 1 and Type 2 logic in ETL workflows.,Automates SCD handling using framework-based or CDC-driven architectures.
,"Data mart vs enterprise data warehouse vs data lake vs lakehouse (Delta, Iceberg, Hudi)","Knows the purpose of data marts, warehouses, and lakes.",Differentiates storage and governance models across architectures.,Designs hybrid lakehouse architectures integrating streaming and ACID capabilities.
,"Medallion architecture (bronze, silver, gold layers)",Understands the purpose of layered data processing.,"Implements basic medallion layers for staging, refined, and curated data.",Designs scalable medallion architectures with data quality checks and audit control at each layer.
,C. Performance Engineering,,,
,"Partitioning strategies (range, hash, composite)",Knows what partitioning is and its purpose in performance.,Implements range or hash partitioning for large tables.,Designs multi-level composite partitioning strategies for massive-scale datasets.
,Clustering/distribution keys & sort keys,Understands how clustering or distribution affects performance.,Applies sort and distribution keys to optimize queries in DWH systems.,Tunes and rebalances distribution strategies for workload patterns dynamically.
,Indexing strategies in OLAP vs OLTP systems,Knows the difference between indexes used in OLTP and OLAP.,Designs and maintains indexes to balance performance and cost.,Implements adaptive indexing and columnar optimization for analytical workloads.
,Aggregation & summary tables,Builds simple aggregate tables for reporting.,Automates summary table generation to speed up analytics.,Designs materialized views and incremental aggregates for large-scale reporting systems.
,CDC (Change Data Capture) concepts,Understands the concept of tracking changes in data sources.,Implements basic CDC using timestamps or log-based triggers.,"Designs full CDC pipelines using Debezium, Kafka, or database-native replication."
,Optimizing query performance for large-scale analytics,Writes efficient queries with basic indexing and partition awareness.,"Uses caching, pruning, and aggregation techniques for faster queries.",Designs cost-based optimization strategies leveraging distributed query engines.
,D. Data Warehouse Practices,,,
,"Designing staging, raw, and curated layers",Separates raw and processed data logically in ETL workflows.,Implements layered data storage with clear quality checks.,"Designs scalable, versioned multi-layer architectures with governance and validation."
,Schema evolution handling (additive vs breaking changes),Understands the impact of schema changes on pipelines.,Handles additive schema changes gracefully.,Automates schema evolution detection and reconciliation across layers.
,"Data lineage tracking tools (e.g., OpenLineage, built-in cloud features)",Documents lineage manually using metadata or notes.,Uses basic lineage tools integrated with orchestration platforms.,Implements full lineage capture integrated with cataloging and observability systems.
,"Security and access controls (RBAC, row-level security, column masking)",Applies simple role-based permissions in databases.,Implements row- and column-level security for sensitive data.,Designs enterprise-grade governance frameworks with dynamic masking and policy automation.
